# outline of illuminated area on igrins slitcam
# generated from scam_geometry.ipynb
# ra/dec coordinates are in arcsec relative to center of slit
# x-pixel 	 y-pixel 	 ra 	 dec 
978.0	152.0	-62.7031650595	-74.4373971338
979.0	152.0	-62.7921559124	-74.3572095459
980.0	152.0	-62.8811467653	-74.277021958
981.0	152.0	-62.9701376182	-74.1968343701
982.0	152.0	-63.0591284711	-74.1166467822
983.0	152.0	-63.148119324	-74.0364591943
984.0	152.0	-63.2371101771	-73.9562716064
985.0	152.0	-63.32610103	-73.8760840185
986.0	152.0	-63.4150918829	-73.7958964306
987.0	152.0	-63.5040827358	-73.7157088427
987.0	153.0	-63.4272304854	-73.6341086633
988.0	153.0	-63.5162213383	-73.5539210754
989.0	153.0	-63.6052121912	-73.4737334875
990.0	153.0	-63.6942030441	-73.3935458996
990.0	154.0	-63.6173507937	-73.3119457203
991.0	154.0	-63.7063416466	-73.2317581324
991.0	155.0	-63.6294893959	-73.150157953
991.0	156.0	-63.5526371455	-73.0685577737
992.0	156.0	-63.6416279984	-72.9883701858
993.0	156.0	-63.7306188513	-72.9081825979
993.0	155.0	-63.8074711019	-72.9897827772
994.0	155.0	-63.8964619548	-72.9095951893
995.0	155.0	-63.9854528077	-72.8294076015
996.0	155.0	-64.0744436607	-72.7492200136
997.0	155.0	-64.1634345136	-72.6690324257
998.0	155.0	-64.2524253665	-72.5888448378
998.0	154.0	-64.3292776171	-72.6704450171
999.0	154.0	-64.41826847	-72.5902574292
1000.0	154.0	-64.5072593229	-72.5100698413
1001.0	154.0	-64.5962501758	-72.4298822534
1002.0	154.0	-64.6852410287	-72.3496946655
1002.0	155.0	-64.6083887783	-72.2680944862
1002.0	156.0	-64.5315365278	-72.1864943068
1003.0	156.0	-64.6205273807	-72.1063067189
1004.0	156.0	-64.7095182337	-72.026119131
1004.0	157.0	-64.632665983	-71.9445189517
1004.0	158.0	-64.5558137326	-71.8629187723
1004.0	159.0	-64.4789614822	-71.781318593
1004.0	160.0	-64.4021092316	-71.6997184136
1003.0	160.0	-64.3131183787	-71.7799060015
1003.0	161.0	-64.2362661282	-71.6983058221
1002.0	161.0	-64.1472752751	-71.77849341
1002.0	162.0	-64.0704230247	-71.6968932307
1002.0	163.0	-63.9935707743	-71.6152930513
1002.0	164.0	-63.9167185237	-71.533692872
1002.0	165.0	-63.8398662732	-71.4520926926
1003.0	165.0	-63.9288571261	-71.3719051047
1003.0	166.0	-63.8520048755	-71.2903049254
1003.0	167.0	-63.7751526251	-71.208704746
1004.0	167.0	-63.864143478	-71.1285171581
1005.0	167.0	-63.9531343309	-71.0483295702
1006.0	167.0	-64.0421251838	-70.9681419823
1006.0	166.0	-64.1189774344	-71.0497421617
1007.0	166.0	-64.2079682873	-70.9695545738
1007.0	165.0	-64.2848205378	-71.0511547531
1008.0	165.0	-64.3738113909	-70.9709671652
1009.0	165.0	-64.4628022438	-70.8907795773
1010.0	165.0	-64.5517930967	-70.8105919895
1011.0	165.0	-64.6407839496	-70.7304044016
1012.0	165.0	-64.7297748025	-70.6502168137
1012.0	166.0	-64.652922552	-70.5686166343
1012.0	167.0	-64.5760703014	-70.487016455
1013.0	167.0	-64.6650611545	-70.4068288671
1014.0	167.0	-64.7540520074	-70.3266412792
1014.0	168.0	-64.6771997568	-70.2450410998
1015.0	168.0	-64.7661906097	-70.1648535119
1016.0	168.0	-64.8551814628	-70.084665924
1017.0	168.0	-64.9441723157	-70.0044783361
1018.0	168.0	-65.0331631686	-69.9242907482
1018.0	167.0	-65.110015419	-70.0058909276
1018.0	166.0	-65.1868676697	-70.0874911069
1019.0	166.0	-65.2758585226	-70.007303519
1020.0	166.0	-65.3648493755	-69.9271159311
1021.0	166.0	-65.4538402284	-69.8469283432
1022.0	166.0	-65.5428310813	-69.7667407553
1023.0	166.0	-65.6318219342	-69.6865531674
1024.0	166.0	-65.7208127873	-69.6063655795
1025.0	166.0	-65.8098036402	-69.5261779916
1026.0	166.0	-65.8987944931	-69.4459904037
1027.0	166.0	-65.987785346	-69.3658028158
1027.0	167.0	-65.9109330956	-69.2842026365
